,county,lead,state,totalpop,men,women,hispanic,white,black,native,asian,pacific,citizen,income,incomeerr,incomepercap,incomepercaperr,poverty,childpoverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment
0,Los Angeles,Hillary Clinton,CA,10038388.0,4945351.0,5093037.0,48.2,26.9,8.0,0.2,14.0,0.2,6046749.0,56196.0,270.0,28337.0,113.0,18.2,25.8,35.7,19.1,24.6,7.8,12.8,73.0,9.9,6.8,2.8,2.3,5.1,30.0,4635465.0,79.0,11.5,9.4,0.2,10.0
5,Cook,Hillary Clinton,IL,5236393.0,2537245.0,2699148.0,24.7,43.1,23.7,0.1,6.7,0.0,3499916.0,55251.0,327.0,31013.0,174.0,17.1,25.0,38.3,18.2,24.4,6.1,13.0,62.1,8.7,18.4,4.4,2.2,4.2,32.3,2463655.0,83.9,11.5,4.5,0.1,10.7
9,Harris,Hillary Clinton,TX,4356362.0,2166727.0,2189635.0,41.6,31.7,18.5,0.2,6.5,0.1,2494733.0,54457.0,400.0,29047.0,174.0,18.0,26.8,34.7,17.4,23.5,11.5,12.9,79.2,11.1,2.9,1.5,2.0,3.3,28.2,2081889.0,83.4,10.1,6.3,0.1,7.5
13,Maricopa,Donald Trump,AZ,4018143.0,1986158.0,2031985.0,30.1,57.3,4.9,1.6,3.7,0.2,2659853.0,54229.0,365.0,27832.0,173.0,17.0,24.4,36.6,18.4,27.2,8.4,9.5,76.5,11.0,2.4,1.6,2.6,5.9,25.5,1821038.0,82.5,11.7,5.7,0.2,7.7
17,Miami-Dade,Hillary Clinton,FL,2639042.0,1280221.0,1358821.0,65.6,15.1,16.8,0.1,1.5,0.0,1521585.0,43129.0,454.0,23850.0,224.0,20.4,27.7,31.5,21.0,28.2,9.1,10.2,76.9,9.2,5.5,2.2,1.9,4.3,29.9,1204871.0,81.9,10.2,7.7,0.2,10.0
23,King,Hillary Clinton,WA,2045756.0,1020901.0,1024855.0,9.3,62.8,6.0,0.6,15.5,0.8,1414658.0,75302.0,690.0,41664.0,315.0,11.2,13.7,49.1,15.6,21.1,5.6,8.6,64.5,9.8,12.1,4.7,2.8,6.1,28.1,1079601.0,81.7,12.4,5.7,0.2,6.3
30,Orange,Hillary Clinton,CA,3116069.0,1539600.0,1576469.0,34.2,42.4,1.5,0.2,18.8,0.3,1961585.0,76509.0,426.0,34817.0,229.0,12.8,17.6,40.1,17.5,25.6,6.8,10.1,78.4,9.8,2.5,2.0,2.1,5.2,26.8,1508753.0,81.8,10.2,7.8,0.2,7.6
35,Broward,Hillary Clinton,FL,1843152.0,894820.0,948332.0,27.0,40.4,26.9,0.2,3.4,0.0,1208582.0,51968.0,429.0,28381.0,265.0,14.5,19.9,35.4,19.9,28.4,8.1,8.1,79.5,9.4,3.1,1.2,2.0,4.9,27.8,890997.0,82.2,11.3,6.4,0.1,10.0
41,Wayne,Hillary Clinton,MI,1778969.0,855112.0,923857.0,5.5,49.8,39.2,0.3,2.9,0.0,1287373.0,41210.0,304.0,22897.0,161.0,25.0,36.9,31.3,20.5,24.4,6.9,16.8,81.0,9.7,3.2,1.8,1.5,2.8,25.1,696900.0,86.1,10.0,3.8,0.1,14.9
47,San Diego,Hillary Clinton,CA,3223096.0,1618945.0,1604151.0,32.9,47.0,4.7,0.4,11.2,0.4,2141755.0,64309.0,514.0,31266.0,197.0,14.5,18.4,40.6,19.7,23.6,7.8,8.4,76.0,9.3,3.0,2.9,2.0,6.8,25.0,1462130.0,77.3,14.8,7.7,0.2,8.7
52,Middlesex,Hillary Clinton,MA,1556116.0,758542.0,797574.0,7.3,74.7,4.6,0.1,10.5,0.0,1087546.0,85118.0,757.0,44152.0,368.0,8.3,9.2,53.4,14.5,19.8,5.7,6.5,68.9,7.5,11.4,4.9,2.2,5.2,29.3,832753.0,82.8,10.7,6.5,0.1,6.1
56,Clark,Hillary Clinton,NV,2035572.0,1019927.0,1015645.0,30.0,45.8,10.4,0.4,9.0,0.7,1321113.0,51575.0,401.0,26048.0,209.0,15.7,22.7,26.5,30.2,26.3,7.9,9.1,78.6,10.4,4.0,1.8,2.2,3.1,24.4,923588.0,84.5,10.7,4.8,0.1,10.8
62,Dallas,Hillary Clinton,TX,2485003.0,1225722.0,1259281.0,39.0,31.5,21.8,0.2,5.6,0.0,1432702.0,50270.0,333.0,27605.0,246.0,19.3,29.3,33.3,18.2,24.5,11.2,12.9,78.2,11.2,2.9,1.5,2.1,4.1,26.5,1191958.0,83.9,9.5,6.4,0.1,7.6
66,Kings,Hillary Clinton,NY,2595259.0,1229001.0,1366258.0,19.6,35.7,31.2,0.2,11.4,0.0,1601527.0,48201.0,419.0,26774.0,203.0,23.2,32.9,38.5,24.1,22.3,6.3,8.8,18.6,4.4,61.7,8.8,2.5,3.9,41.7,1167448.0,79.1,14.4,6.5,0.1,10.0
70,Philadelphia,Hillary Clinton,PA,1555072.0,734521.0,820551.0,13.4,35.8,41.5,0.2,6.8,0.0,1119353.0,38253.0,511.0,22919.0,213.0,26.4,37.2,36.0,24.0,23.7,5.6,10.7,50.4,8.6,26.2,8.5,3.3,3.1,32.5,640661.0,82.9,13.0,4.0,0.1,13.9
75,Hennepin,Hillary Clinton,MN,1197776.0,589781.0,607995.0,6.8,70.4,12.0,0.6,6.7,0.0,855006.0,65834.0,616.0,38724.0,305.0,12.5,16.8,47.7,15.6,23.2,4.3,9.2,73.4,8.1,7.3,3.4,2.6,5.2,23.1,650324.0,84.9,10.1,4.8,0.1,6.0
84,Oakland,Hillary Clinton,MI,1229503.0,597097.0,632406.0,3.7,73.5,13.8,0.2,6.3,0.0,896373.0,67465.0,680.0,37728.0,307.0,10.1,13.1,47.8,14.4,23.8,4.9,9.0,85.7,7.5,0.5,1.2,0.9,4.2,26.3,606484.0,86.1,8.8,5.0,0.2,7.5
90,Tarrant,Donald Trump,TX,1914526.0,937266.0,977260.0,27.6,49.8,15.1,0.3,4.9,0.2,1219370.0,58711.0,488.0,29058.0,254.0,15.0,21.5,36.3,16.0,25.7,8.9,13.1,82.9,10.0,0.6,1.2,1.4,3.9,26.5,924741.0,83.1,11.4,5.4,0.1,6.9
94,Palm Beach,Hillary Clinton,FL,1378806.0,666577.0,712229.0,20.4,57.6,17.5,0.1,2.5,0.0,956277.0,53363.0,511.0,33650.0,430.0,14.5,22.2,35.6,22.0,26.3,8.9,7.2,78.8,9.7,2.0,1.5,2.0,5.9,25.0,617902.0,82.6,10.8,6.5,0.1,9.5
100,Allegheny,Hillary Clinton,PA,1231145.0,592511.0,638634.0,1.8,79.6,12.9,0.1,3.3,0.0,962282.0,53040.0,530.0,32848.0,300.0,13.0,18.1,43.7,17.0,24.6,6.1,8.5,72.1,9.0,9.1,4.2,1.5,4.2,26.4,612259.0,86.2,9.3,4.5,0.1,7.1
105,Queens,Hillary Clinton,NY,2301139.0,1115459.0,1185680.0,27.9,26.1,17.4,0.2,24.2,0.0,1367889.0,57720.0,552.0,26876.0,165.0,15.1,20.5,32.3,24.8,24.0,8.2,10.7,31.6,6.4,52.3,5.8,1.5,2.4,42.6,1104930.0,79.9,13.6,6.4,0.1,8.6
109,Suffolk,Donald Trump,NY,1501373.0,739210.0,762163.0,17.8,69.6,7.1,0.1,3.7,0.0,1056903.0,88663.0,826.0,37634.0,304.0,7.0,8.7,37.8,17.5,25.7,9.4,9.5,79.3,7.9,6.5,1.6,1.2,3.5,31.4,735010.0,77.1,18.1,4.7,0.1,6.4
113,Nassau,Hillary Clinton,NY,1354612.0,656738.0,697874.0,15.8,62.9,10.9,0.1,8.5,0.0,947249.0,99465.0,1000.0,43206.0,355.0,6.2,8.2,43.6,16.3,26.2,6.8,7.1,69.2,7.1,16.3,2.7,1.1,3.6,34.9,666184.0,78.0,16.4,5.5,0.1,6.4
117,Hillsborough,Hillary Clinton,FL,1302884.0,635632.0,667252.0,26.1,51.8,15.6,0.2,3.7,0.1,902105.0,50579.0,420.0,27764.0,264.0,17.0,23.3,37.4,17.7,27.7,8.8,8.4,80.4,8.9,1.4,1.6,2.0,5.5,26.4,608977.0,83.4,12.2,4.3,0.1,9.0
123,New York,Hillary Clinton,NY,1629507.0,769434.0,860073.0,25.8,47.1,12.7,0.1,11.6,0.0,1156936.0,72871.0,1113.0,64993.0,844.0,17.9,24.6,59.2,13.8,20.7,2.1,4.1,6.1,1.9,59.2,20.7,5.4,6.8,31.1,884457.0,83.6,8.5,7.8,0.1,7.5
127,Bexar,Hillary Clinton,TX,1825502.0,897690.0,927812.0,59.1,29.3,7.1,0.2,2.5,0.0,1212392.0,51150.0,405.0,24735.0,199.0,17.4,24.9,34.6,19.6,26.4,9.6,9.8,79.2,11.0,2.8,1.8,1.2,4.0,24.5,824123.0,79.6,14.8,5.6,0.1,7.4
131,Cuyahoga,Hillary Clinton,OH,1263189.0,600864.0,662325.0,5.3,60.4,29.3,0.2,2.8,0.0,955794.0,44190.0,438.0,28215.0,252.0,18.7,27.8,39.0,18.4,24.7,5.6,12.3,80.2,7.4,4.9,2.6,1.2,3.5,24.2,576603.0,83.1,12.6,4.2,0.1,10.6
136,Franklin,Hillary Clinton,OH,1215761.0,592278.0,623483.0,5.0,65.8,21.1,0.1,4.3,0.0,866414.0,52341.0,432.0,29244.0,260.0,17.5,24.8,41.6,17.0,25.3,5.2,10.8,81.4,8.2,2.6,2.5,1.5,3.9,21.6,616368.0,80.8,14.8,4.3,0.1,7.0
141,Santa Clara,Hillary Clinton,CA,1868149.0,939004.0,929145.0,26.6,33.6,2.4,0.2,33.5,0.3,1131378.0,96310.0,783.0,43880.0,313.0,9.5,10.9,50.5,15.2,19.6,6.5,8.2,76.0,10.4,3.9,2.0,3.2,4.6,26.3,915619.0,84.3,9.3,6.4,0.1,7.7
146,Orange,Hillary Clinton,FL,1229039.0,603946.0,625093.0,28.7,43.5,19.9,0.1,5.1,0.0,835254.0,47943.0,622.0,25411.0,329.0,17.8,25.5,35.0,21.8,27.4,6.9,8.9,79.9,9.2,3.0,1.1,2.1,4.6,26.7,603683.0,86.5,9.1,4.3,0.1,9.1
152,Fairfax,Hillary Clinton,VA,1128722.0,558606.0,570116.0,16.1,52.6,9.1,0.1,18.3,0.1,712214.0,112552.0,1041.0,51025.0,382.0,6.0,7.6,56.1,14.9,19.2,5.5,4.4,71.7,9.4,9.8,1.8,1.5,5.8,32.0,603966.0,72.9,21.5,5.4,0.1,4.9
