,county,state,totalpop,income,professional,service,office,drive,carpool,transit,workathome,meancommute,unemployment,party,perc_men,perc_white,perc_private_work,perc_citizen,perc_employed
0,Los Angeles,CA,10038388.0,56196.0,0.35700000000000004,0.191,0.24600000000000002,0.73,0.099,0.068,0.051,0.3,0.1,D,0.49264393844908166,0.27589743589743587,0.7892107892107891,0.6023625506406008,0.46177384257313026
1,Cook,IL,5236393.0,55251.0,0.38299999999999995,0.182,0.244,0.621,0.087,0.184,0.042,0.32299999999999995,0.107,D,0.4845405988435169,0.4384537131230926,0.8390000000000001,0.6683829880606746,0.47048703181751256
2,Harris,TX,4356362.0,54457.0,0.34700000000000003,0.174,0.235,0.792,0.111,0.028999999999999998,0.033,0.282,0.075,D,0.4973707419172236,0.32150101419878296,0.834834834834835,0.5726643010842534,0.4778962354368163
3,Maricopa,AZ,4018143.0,54229.0,0.366,0.184,0.272,0.765,0.11,0.024,0.059000000000000004,0.255,0.077,R,0.49429749015901125,0.5858895705521472,0.8241758241758241,0.6619607614761346,0.45320388049902655
4,Miami-Dade,FL,2639042.0,43129.0,0.315,0.21,0.282,0.769,0.092,0.055,0.043,0.299,0.1,D,0.485108232457081,0.1523713420787084,0.819,0.5765671785443354,0.45655620486525034
5,King,WA,2045756.0,75302.0,0.491,0.156,0.21100000000000002,0.645,0.098,0.121,0.061,0.281,0.063,D,0.49903360909121125,0.6610526315789474,0.817,0.6915086647674503,0.5277271580775029
6,Orange,CA,3116069.0,76509.0,0.401,0.175,0.256,0.784,0.098,0.025,0.052000000000000005,0.268,0.076,D,0.4940840526958806,0.4353182751540041,0.818,0.6295062785836899,0.48418472119840733
7,Broward,FL,1843152.0,51968.0,0.354,0.19899999999999998,0.284,0.795,0.094,0.031,0.049,0.278,0.1,D,0.4854835629400071,0.4126659856996935,0.8220000000000001,0.6557147755583913,0.48340939868225735
8,Wayne,MI,1778969.0,41210.0,0.313,0.205,0.244,0.81,0.09699999999999999,0.032,0.027999999999999997,0.251,0.149,D,0.48067841541926815,0.5097236438075742,0.8610000000000001,0.7236624134540849,0.39174375719869203
9,San Diego,CA,3223096.0,64309.0,0.406,0.19699999999999998,0.23600000000000002,0.76,0.09300000000000001,0.03,0.068,0.25,0.087,D,0.5022949983494132,0.4865424430641821,0.773,0.664502391489425,0.453641467706826
10,Middlesex,MA,1556116.0,85118.0,0.534,0.145,0.198,0.6890000000000001,0.075,0.114,0.052000000000000005,0.293,0.061,D,0.4874585185166144,0.7685185185185186,0.8271728271728271,0.6988849160345373,0.5351484079593039
11,Clark,NV,2035572.0,51575.0,0.265,0.302,0.263,0.7859999999999999,0.10400000000000001,0.04,0.031,0.244,0.10800000000000001,D,0.5010517928130275,0.47559709241952225,0.8441558441558442,0.6490131520771557,0.4537240638012313
12,Dallas,TX,2485003.0,50270.0,0.33299999999999996,0.182,0.245,0.782,0.11199999999999999,0.028999999999999998,0.040999999999999995,0.265,0.076,D,0.49324769426837717,0.3211009174311927,0.8398398398398399,0.5765393442180955,0.4796605879349039
13,Kings,NY,2595259.0,48201.0,0.385,0.24100000000000002,0.223,0.18600000000000003,0.044000000000000004,0.617,0.039,0.41700000000000004,0.1,D,0.47355620383167923,0.363914373088685,0.7902097902097902,0.6170971760429306,0.4498387251522873
14,Philadelphia,PA,1555072.0,38253.0,0.36,0.24,0.237,0.504,0.086,0.262,0.031,0.325,0.139,D,0.47233890134990536,0.3664278403275333,0.8290000000000001,0.7198078288336489,0.4119815674129558
15,Hennepin,MN,1197776.0,65834.0,0.47700000000000004,0.156,0.23199999999999998,0.7340000000000001,0.081,0.073,0.052000000000000005,0.231,0.06,D,0.49239674196176914,0.7295336787564768,0.84984984984985,0.7138279611546733,0.542942920880031
16,Oakland,MI,1229503.0,67465.0,0.478,0.14400000000000002,0.23800000000000002,0.857,0.075,0.005,0.042,0.263,0.075,D,0.48564094597573165,0.7538461538461538,0.8601398601398601,0.7290531214645267,0.4932757382454537
17,Tarrant,TX,1914526.0,58711.0,0.363,0.16,0.257,0.8290000000000001,0.1,0.006,0.039,0.265,0.069,R,0.4895551170368018,0.5086823289070479,0.831,0.6369043825991394,0.48301302776770855
18,Palm Beach,FL,1378806.0,53363.0,0.35600000000000004,0.22,0.263,0.7879999999999999,0.09699999999999999,0.02,0.059000000000000004,0.25,0.095,D,0.4834450966996082,0.5871559633027523,0.8260000000000001,0.6935544231748338,0.44814281341972695
19,Allegheny,PA,1231145.0,53040.0,0.43700000000000006,0.17,0.24600000000000002,0.721,0.09,0.091,0.042,0.264,0.071,D,0.48126825028733417,0.8147389969293757,0.8611388611388612,0.7816154880213135,0.49730860296715657
20,Queens,NY,2301139.0,57720.0,0.32299999999999995,0.248,0.24,0.316,0.064,0.523,0.024,0.426,0.086,D,0.48474212118433524,0.27244258872651356,0.799,0.5944399708144532,0.4801665609943597
21,Suffolk,NY,1501373.0,88663.0,0.37799999999999995,0.175,0.257,0.7929999999999999,0.079,0.065,0.035,0.314,0.064,R,0.49235599681091907,0.7080366225839269,0.771,0.7039576441030976,0.48955855740045945
